Débits Moyens Journaliers ( m3/s ) Station Beni-Bahdel. Code 160402) Test 30%;
Débits Moyens Journaliers ( m3/s ) Station Beni-Bahdel. Code 160402) Test 30%;
Date;Q
08/07/73;0.224
09/07/73;0.224
10/07/73;0.224
11/07/73;0.224
12/07/73;0.224
13/07/73;0.224
14/07/73;0.224
15/07/73;0.224
16/07/73;0.224
17/07/73;0.224
18/07/73;0.224
19/07/73;0.224
20/07/73;0.224
21/07/73;0.224
22/07/73;0.367
23/07/73;0.367
24/07/73;0.295
25/07/73;0.295
26/07/73;0.295
27/07/73;0.295
28/07/73;0.295
29/07/73;0.295
30/07/73;0.367
31/07/73;0.295
01/08/73;0.581
02/08/73;0.295
03/08/73;0.295
04/08/73;0.295
05/08/73;0.224
06/08/73;0.224
07/08/73;0.224
08/08/73;0.295
09/08/73;0.295
10/08/73;0.295
11/08/73;0.295
12/08/73;0.295
13/08/73;0.367
14/08/73;0.367
15/08/73;0.367
16/08/73;0.367
17/08/73;0.367
18/08/73;0.295
19/08/73;0.295
20/08/73;0.295
21/08/73;0.295
22/08/73;0.295
23/08/73;0.295
24/08/73;0.295
25/08/73;0.295
26/08/73;0.295
27/08/73;0.295
28/08/73;0.295
29/08/73;0.295
30/08/73;0.295
31/08/73;0.295
01/09/73;0.295
02/09/73;0.295
03/09/73;0.295
04/09/73;0.778
05/09/73;0.91
06/09/73;0.472
07/09/73;0.432
08/09/73;0.432
09/09/73;0.392
10/09/73;0.392
11/09/73;0.352
12/09/73;0.312
13/09/73;0.352
14/09/73;0.392
15/09/73;0.352
16/09/73;0.352
17/09/73;0.392
18/09/73;0.352
19/09/73;0.312
20/09/73;0.312
21/09/73;0.352
22/09/73;0.312
23/09/73;0.312
24/09/73;0.312
25/09/73;0.312
26/09/73;0.312
27/09/73;0.352
28/09/73;0.352
29/09/73;0.352
30/09/73;0.352
01/10/73;0.392
02/10/73;0.392
03/10/73;0.392
04/10/73;0.392
05/10/73;0.392
06/10/73;0.352
07/10/73;0.352
08/10/73;0.392
09/10/73;0.352
10/10/73;0.352
11/10/73;0.352
12/10/73;0.352
13/10/73;0.352
14/10/73;0.352
15/10/73;0.352
16/10/73;0.352
17/10/73;0.352
18/10/73;0.352
19/10/73;0.392
20/10/73;0.392
21/10/73;0.392
22/10/73;0.392
23/10/73;0.392
24/10/73;0.392
25/10/73;0.392
26/10/73;0.392
27/10/73;0.392
28/10/73;0.392
29/10/73;0.392
30/10/73;0.621
31/10/73;0.512
01/11/73;0.432
02/11/73;0.432
03/11/73;0.432
04/11/73;0.432
05/11/73;0.432
06/11/73;0.472
07/11/73;0.432
08/11/73;0.432
09/11/73;0.432
10/11/73;0.432
11/11/73;0.432
12/11/73;0.472
13/11/73;0.472
14/11/73;0.472
15/11/73;0.512
16/11/73;0.472
17/11/73;0.472
18/11/73;0.472
19/11/73;0.552
20/11/73;0.512
21/11/73;0.512
22/11/73;0.512
23/11/73;0.512
24/11/73;0.512
25/11/73;0.512
26/11/73;0.512
27/11/73;0.512
28/11/73;0.512
29/11/73;0.552
30/11/73;0.596
01/12/73;0.71
02/12/73;0.592
03/12/73;0.512
04/12/73;0.512
05/12/73;0.472
06/12/73;0.472
07/12/73;0.472
08/12/73;0.472
09/12/73;0.512
10/12/73;0.512
11/12/73;0.512
12/12/73;0.512
13/12/73;0.512
14/12/73;0.551
15/12/73;0.943
16/12/73;1.34
17/12/73;1.12
18/12/73;1
19/12/73;0.945
20/12/73;0.768
21/12/73;0.651
22/12/73;0.651
23/12/73;0.592
24/12/73;0.552
25/12/73;0.552
26/12/73;0.552
27/12/73;0.552
28/12/73;0.552
29/12/73;0.512
30/12/73;0.512
31/12/73;0.512
01/01/74;0.512
02/01/74;0.472
03/01/74;0.472
04/01/74;0.472
05/01/74;0.472
06/01/74;0.472
07/01/74;0.472
08/01/74;0.472
09/01/74;0.432
10/01/74;0.432
11/01/74;0.432
12/01/74;0.392
13/01/74;0.392
14/01/74;0.392
15/01/74;0.392
16/01/74;0.392
17/01/74;0.392
18/01/74;0.352
19/01/74;0.232
20/01/74;0.232
21/01/74;0.232
22/01/74;0.272
23/01/74;0.312
24/01/74;0.232
25/01/74;0.232
26/01/74;0.232
27/01/74;0.272
28/01/74;0.272
29/01/74;0.272
30/01/74;0.272
31/01/74;0.272
01/02/74;0.272
02/02/74;0.272
03/02/74;0.272
04/02/74;0.272
05/02/74;0.312
06/02/74;0.312
07/02/74;0.272
08/02/74;0.232
09/02/74;0.232
10/02/74;0.232
11/02/74;0.232
12/02/74;0.232
13/02/74;0.232
14/02/74;0.232
15/02/74;0.192
16/02/74;0.192
17/02/74;0.192
18/02/74;0.472
19/02/74;0.392
20/02/74;0.392
21/02/74;0.392
22/02/74;0.312
23/02/74;0.272
24/02/74;0.232
25/02/74;0.232
26/02/74;0.272
27/02/74;0.352
28/02/74;0.392
01/03/74;0.392
02/03/74;0.392
03/03/74;0.352
04/03/74;1.65
05/03/74;1.01
