Débits Moyens Journaliers ( m3/s ) Station Beni-Bahdel. Code 160402) Test 30%;
Débits Moyens Journaliers ( m3/s ) Station Beni-Bahdel. Code 160402) Test 30%;
Date;Q
05/05/76;0.191
06/05/76;0.191
07/05/76;0.175
08/05/76;0.191
09/05/76;0.175
10/05/76;0.175
11/05/76;0.175
12/05/76;0.175
13/05/76;0.175
14/05/76;0.175
15/05/76;0.175
16/05/76;0.175
17/05/76;0.175
18/05/76;0.175
19/05/76;0.175
20/05/76;0.175
21/05/76;0.175
22/05/76;0.175
23/05/76;0.175
24/05/76;0.158
25/05/76;0.158
26/05/76;0.158
27/05/76;0.158
28/05/76;0.158
29/05/76;0.158
30/05/76;0.158
31/05/76;0.158
01/06/76;0.158
02/06/76;0.142
03/06/76;0.142
04/06/76;0.142
05/06/76;0.142
06/06/76;0.142
07/06/76;0.142
08/06/76;0.142
09/06/76;0.142
10/06/76;0.142
11/06/76;0.142
12/06/76;0.142
13/06/76;0.142
14/06/76;0.142
15/06/76;0.125
16/06/76;0.125
17/06/76;0.125
18/06/76;0.125
19/06/76;0.125
20/06/76;0.115
21/06/76;0.115
22/06/76;0.175
23/06/76;0.224
24/06/76;0.208
25/06/76;0.208
26/06/76;0.208
27/06/76;0.224
28/06/76;0.224
29/06/76;0.208
30/06/76;0.175
01/07/76;0.208
02/07/76;0.175
03/07/76;0.175
04/07/76;0.224
05/07/76;0.191
06/07/76;0.191
07/07/76;0.175
08/07/76;0.175
09/07/76;0.191
10/07/76;0.175
11/07/76;0.175
12/07/76;0.175
13/07/76;0.175
14/07/76;0.175
15/07/76;0.175
16/07/76;0.175
17/07/76;0.158
18/07/76;0.175
19/07/76;0.191
20/07/76;0.175
21/07/76;0.191
22/07/76;0.175
23/07/76;0.191
24/07/76;0.175
25/07/76;0.208
26/07/76;0.241
27/07/76;0.241
28/07/76;0.208
29/07/76;0.224
30/07/76;0.224
31/07/76;0.241
01/08/76;0.208
02/08/76;0.208
03/08/76;0.208
04/08/76;0.422
05/08/76;0.332
06/08/76;0.224
07/08/76;0.208
08/08/76;0.241
09/08/76;0.224
10/08/76;0.208
11/08/76;0.208
12/08/76;0.241
13/08/76;0.241
14/08/76;0.241
15/08/76;0.208
16/08/76;0.208
17/08/76;31.2
18/08/76;0.56
19/08/76;0.44
20/08/76;0.4
21/08/76;0.4
22/08/76;0.4
23/08/76;0.349
24/08/76;0.332
25/08/76;0.315
26/08/76;0.332
27/08/76;0.315
28/08/76;0.332
29/08/76;0.332
30/08/76;0.332
31/08/76;0.332
01/09/76;0.332
02/09/76;0.332
03/09/76;0.332
04/09/76;0.332
05/09/76;6.09
06/09/76;1.53
07/09/76;0.237
08/09/76;0.214
09/09/76;0.192
10/09/76;0.192
11/09/76;0.192
12/09/76;0.146
13/09/76;0.123
14/09/76;0.077
15/09/76;0.505
16/09/76;0.306
17/09/76;0.283
18/09/76;0.26
19/09/76;0.237
20/09/76;0.237
21/09/76;0.237
22/09/76;0.214
23/09/76;0.214
24/09/76;0.214
25/09/76;0.146
26/09/76;0.169
27/09/76;0.169
28/09/76;0.192
29/09/76;0.192
30/09/76;0.192
01/10/76;0.192
02/10/76;0.192
03/10/76;0.214
04/10/76;0.214
05/10/76;0.214
06/10/76;0.214
07/10/76;0.237
08/10/76;0.237
09/10/76;0.237
10/10/76;0.237
11/10/76;0.525
12/10/76;0.859
13/10/76;0.481
14/10/76;0.283
15/10/76;0.283
16/10/76;0.26
17/10/76;0.283
18/10/76;0.283
19/10/76;0.306
20/10/76;0.306
21/10/76;0.283
22/10/76;0.283
23/10/76;0.26
24/10/76;0.26
25/10/76;0.283
26/10/76;0.283
27/10/76;0.283
28/10/76;0.283
29/10/76;0.394
30/10/76;0.283
31/10/76;0.283
01/11/76;0.283
02/11/76;0.283
03/11/76;0.283
04/11/76;0.283
05/11/76;0.306
06/11/76;0.35
07/11/76;0.455
08/11/76;0.525
09/11/76;0.437
10/11/76;0.481
11/11/76;0.525
12/11/76;0.525
13/11/76;0.525
14/11/76;0.525
15/11/76;0.525
16/11/76;0.569
17/11/76;0.613
18/11/76;0.656
19/11/76;0.7
20/11/76;1.2
21/11/76;1.2
22/11/76;0.835
23/11/76;0.744
24/11/76;0.7
25/11/76;0.613
26/11/76;0.569
27/11/76;0.481
28/11/76;0.481
29/11/76;0.481
30/11/76;0.481
01/12/76;0.437
02/12/76;0.394
03/12/76;0.394
04/12/76;0.35
05/12/76;0.35
06/12/76;0.394
07/12/76;0.394
08/12/76;0.35
09/12/76;0.35
10/12/76;0.35
11/12/76;0.35
12/12/76;0.306
13/12/76;0.306
14/12/76;0.35
15/12/76;0.35
16/12/76;0.35
17/12/76;0.35
18/12/76;0.35
19/12/76;0.306
20/12/76;0.306
21/12/76;0.306
22/12/76;0.283
23/12/76;0.283
24/12/76;0.283
25/12/76;0.283
26/12/76;0.283
27/12/76;0.283
28/12/76;0.283
29/12/76;0.26
30/12/76;0.169
31/12/76;0.169
01/01/77;0.169
02/01/77;0.169
03/01/77;0.169
04/01/77;0.169
05/01/77;0.169
06/01/77;0.169
07/01/77;0.169
08/01/77;0.169
09/01/77;0.169
10/01/77;0.169
11/01/77;0.169
12/01/77;0.169
13/01/77;0.192
14/01/77;0.169
15/01/77;0.169
16/01/77;0.192
17/01/77;0.169
18/01/77;0.192
19/01/77;0.192
20/01/77;0.169
21/01/77;0.169
22/01/77;0.192
23/01/77;0.192
24/01/77;0.192
25/01/77;0.192
26/01/77;0.192
27/01/77;0.192
28/01/77;0.192
29/01/77;0.192
30/01/77;0.192
31/01/77;0.192
01/02/77;0.192
02/02/77;0.192
03/02/77;0.192
04/02/77;0.214
05/02/77;0.214
06/02/77;0.237
07/02/77;0.214
08/02/77;0.214
09/02/77;0.237
10/02/77;0.237
11/02/77;0.237
12/02/77;0.237
13/02/77;0.237
14/02/77;0.237
15/02/77;0.237
16/02/77;0.237
17/02/77;0.214
18/02/77;0.214
19/02/77;0.214
20/02/77;0.237
21/02/77;0.26
22/02/77;0.26
23/02/77;0.26
24/02/77;0.237
25/02/77;0.237
26/02/77;0.237
27/02/77;0.237
28/02/77;0.237
01/03/77;0.237
02/03/77;0.237
03/03/77;0.237
04/03/77;0.237
05/03/77;0.237
06/03/77;0.237
07/03/77;0.237
08/03/77;0.237
09/03/77;0.237
10/03/77;0.237
11/03/77;0.214
12/03/77;0.192
13/03/77;0.237
14/03/77;0.214
15/03/77;0.214
16/03/77;0.214
17/03/77;0.237
18/03/77;0.214
19/03/77;0.214
20/03/77;0.214
21/03/77;0.214
22/03/77;0.192
23/03/77;0.214
24/03/77;0.214
25/03/77;0.192
26/03/77;0.169
27/03/77;0.192
28/03/77;0.214
29/03/77;0.214
30/03/77;0.214
31/03/77;0.214
01/04/77;0.214
02/04/77;0.192
03/04/77;0.169
04/04/77;0.192
05/04/77;0.192
06/04/77;0.192
07/04/77;0.353
08/04/77;0.146
09/04/77;0.146
10/04/77;0.146
11/04/77;0.146
12/04/77;0.146
13/04/77;0.146
14/04/77;0.251
15/04/77;0.237
16/04/77;0.192
17/04/77;0.192
18/04/77;0.192
19/04/77;0.169
20/04/77;0.146
21/04/77;0.123
22/04/77;0.123
23/04/77;0.123
24/04/77;0.146
25/04/77;0.123
26/04/77;0.123
27/04/77;0.123
28/04/77;0.123
29/04/77;0.1
30/04/77;0.1
01/05/77;0.1
02/05/77;0.146
03/05/77;0.192
04/05/77;0.192
05/05/77;0.192
06/05/77;0.192
07/05/77;0.192
08/05/77;0.192
09/05/77;0.169
10/05/77;0.146
11/05/77;0.169
12/05/77;0.169
13/05/77;0.169
14/05/77;0.169
15/05/77;0.192
16/05/77;0.192
17/05/77;0.192
18/05/77;0.214
19/05/77;0.192
20/05/77;0.192
21/05/77;0.192
22/05/77;0.214
23/05/77;0.192
24/05/77;0.169
25/05/77;0.192
26/05/77;0.192
27/05/77;0.192
28/05/77;0.169
29/05/77;0.146
30/05/77;0.146
31/05/77;0.169
01/06/77;0.169
02/06/77;0.169
03/06/77;0.146
04/06/77;0.146
05/06/77;0.169
06/06/77;0.169
07/06/77;0.169
08/06/77;0.169
09/06/77;0.169
10/06/77;0.169
11/06/77;0.169
12/06/77;0.169
13/06/77;0.169
14/06/77;0.169
15/06/77;0.169
16/06/77;0.192
17/06/77;0.192
18/06/77;0.192
19/06/77;0.192
20/06/77;0.192
21/06/77;0.192
22/06/77;0.192
23/06/77;0.192
24/06/77;0.32
25/06/77;0.214
26/06/77;0.123
27/06/77;0.123
28/06/77;0.192
29/06/77;0.192
30/06/77;0.169
01/07/77;0.192
02/07/77;0.192
03/07/77;0.169
04/07/77;0.169
05/07/77;0.146
06/07/77;0.146
07/07/77;0.169
08/07/77;0.169
09/07/77;0.169
10/07/77;0.169
11/07/77;0.169
12/07/77;0.146
13/07/77;0.146
14/07/77;0.146
15/07/77;0.146
16/07/77;0.146
17/07/77;0.146
18/07/77;0.146
19/07/77;0.169
20/07/77;0.169
21/07/77;0.169
22/07/77;0.169
23/07/77;0.38
24/07/77;0.36
25/07/77;0.74
26/07/77;0.42
27/07/77;0.4
28/07/77;0.41
29/07/77;0.49
30/07/77;0.82
31/07/77;0.54
01/08/77;0.42
02/08/77;0.41
03/08/77;0.39
04/08/77;0.4
05/08/77;0.56
06/08/77;0.49
07/08/77;2.32
08/08/77;0.69
09/08/77;0.44
10/08/77;0.42
11/08/77;0.38
12/08/77;0.5
13/08/77;0.39
14/08/77;0.4
15/08/77;0.4
16/08/77;0.41
17/08/77;0.57
18/08/77;2.69
19/08/77;8.5
20/08/77;0.6
21/08/77;3.3
22/08/77;1.04
23/08/77;0.24
24/08/77;0.24
25/08/77;0.24
26/08/77;0.21
27/08/77;0.17
28/08/77;0.12
29/08/77;0.07
30/08/77;0.045
31/08/77;0.045
01/09/77;0.07
02/09/77;0.07
03/09/77;0.43
04/09/77;13.96
05/09/77;0.312
06/09/77;0.276
07/09/77;0.276
08/09/77;0.215
09/09/77;0.215
10/09/77;0.216
11/09/77;0.216
12/09/77;0.216
13/09/77;75.53
14/09/77;3.05
15/09/77;14.12
16/09/77;0.9
17/09/77;0.5925
18/09/77;0.777
19/09/77;0.7155
20/09/77;0.654
21/09/77;0.654
22/09/77;0.5925
23/09/77;0.5925
24/09/77;0.5925
25/09/77;0.531
26/09/77;0.531
27/09/77;0.531
28/09/77;0.5925
29/09/77;0.531
30/09/77;0.531
01/10/77;0.5925
02/10/77;0.654
03/10/77;0.5925
04/10/77;0.531
05/10/77;0.245
06/10/77;10.71875
07/10/77;1.312
08/10/77;0.885
09/10/77;0.8
10/10/77;0.2795167
11/10/77;0.0758
12/10/77;0.052
13/10/77;0.049
14/10/77;0.046
15/10/77;0.043
16/10/77;0.046
17/10/77;0.043
18/10/77;0.043
19/10/77;0.046
20/10/77;0.043
21/10/77;0.043
22/10/77;0.046
23/10/77;0.171
24/10/77;0.2424
25/10/77;0.2186
26/10/77;0.2186
27/10/77;0.2186
28/10/77;0.2186
29/10/77;0.2186
30/10/77;0.2186
31/10/77;0.2186
01/11/77;0.2186
02/11/77;0.2186
03/11/77;0.2186
04/11/77;0.2186
05/11/77;0.2186
06/11/77;0.2424
07/11/77;0.2424
08/11/77;0.2424
09/11/77;0.2424
10/11/77;0.2662
11/11/77;0.2662
12/11/77;0.2662
13/11/77;0.29
14/11/77;0.29
15/11/77;0.29
16/11/77;0.29
17/11/77;0.375
18/11/77;3.93725
19/11/77;1.020791
20/11/77;0.545
21/11/77;0.29
22/11/77;0.2662
23/11/77;0.2424
24/11/77;0.2424
25/11/77;0.2424
26/11/77;0.2186
27/11/77;0.2186
28/11/77;0.2186
29/11/77;0.2186
30/11/77;0.2186
01/12/77;0.2186
02/12/77;0.2186
03/12/77;0.2186
04/12/77;2.508
05/12/77;4.181125
06/12/77;1.312
07/12/77;1.055
08/12/77;0.97
09/12/77;1.055
10/12/77;1.226
11/12/77;0.885
12/12/77;0.885
13/12/77;0.8
14/12/77;0.715
15/12/77;0.715
16/12/77;0.63
17/12/77;0.8
18/12/77;0.375
19/12/77;5.397958
20/12/77;25.57767
21/12/77;9.051916
22/12/77;6.5295
23/12/77;3.852
24/12/77;3.17
25/12/77;1.927
26/12/77;1.635
27/12/77;1.343
28/12/77;1.146
29/12/77;1.022
30/12/77;0.96
31/12/77;1.022
01/01/78;0.712
02/01/78;0.65
03/01/78;0.614
04/01/78;0.578
05/01/78;0.542
06/01/78;0.6208332
07/01/78;0.5779999
08/01/78;0.542
09/01/78;0.542
10/01/78;0.542
11/01/78;0.542
12/01/78;0.542
13/01/78;0.542
14/01/78;0.542
15/01/78;0.506
16/01/78;0.47
17/01/78;0.47
18/01/78;1.12875
19/01/78;10.25472
20/01/78;4.818
21/01/78;4.035
22/01/78;2.62
23/01/78;1.988
24/01/78;1.79
25/01/78;1.625
26/01/78;1.295
27/01/78;1.0792
28/01/78;1.0256
29/01/78;0.972
30/01/78;0.9184
31/01/78;0.8112
01/02/78;0.7576
02/02/78;0.7576
03/02/78;0.7576
04/02/78;0.704
05/02/78;0.704
06/02/78;0.6624
07/02/78;0.6624
08/02/78;0.6208
09/02/78;0.5792
10/02/78;0.5792
11/02/78;0.5792
12/02/78;0.4128
13/02/78;0.288
14/02/78;0.244
15/02/78;0.222
16/02/78;0.222
17/02/78;0.222
18/02/78;0.222
19/02/78;0.2
20/02/78;0.178
21/02/78;0.178
22/02/78;0.156
23/02/78;0.156
24/02/78;0.156
25/02/78;0.178
26/02/78;0.266
27/02/78;0.266
28/02/78;0.266
01/03/78;0.244
02/03/78;0.288
03/03/78;0.266
04/03/78;0.266
05/03/78;0.266
06/03/78;0.266
07/03/78;0.266
08/03/78;0.266
09/03/78;0.266
10/03/78;0.266
11/03/78;0.266
12/03/78;0.288
13/03/78;0.288
14/03/78;0.266
15/03/78;0.266
16/03/78;0.266
17/03/78;0.266
18/03/78;0.266
19/03/78;0.288
20/03/78;0.266
21/03/78;0.266
22/03/78;0.266
23/03/78;0.266
24/03/78;0.266
25/03/78;0.266
26/03/78;0.3296
27/03/78;0.3296
28/03/78;0.3296
29/03/78;0.288
30/03/78;0.288
31/03/78;0.266
01/04/78;0.266
02/04/78;0.266
03/04/78;0.266
04/04/78;0.244
05/04/78;0.244
06/04/78;0.288
07/04/78;0.288
08/04/78;0.288
09/04/78;0.266
10/04/78;0.266
11/04/78;0.244
12/04/78;0.266
13/04/78;0.266
14/04/78;0.266
15/04/78;0.266
16/04/78;0.178
17/04/78;0.156
18/04/78;0.156
19/04/78;0.156
20/04/78;0.156
21/04/78;0.156
22/04/78;0.156
23/04/78;0.156
24/04/78;0.156
25/04/78;0.156
26/04/78;0.134
27/04/78;0.156
28/04/78;0.156
29/04/78;0.156
30/04/78;0.134
01/05/78;0.134
02/05/78;0.134
03/05/78;0.156
04/05/78;0.156
05/05/78;0.156
06/05/78;0.156
07/05/78;0.112
08/05/78;0.134
09/05/78;0.134
10/05/78;0.134
11/05/78;0.112
12/05/78;0.112
13/05/78;0.112
14/05/78;0.134
15/05/78;0.134
16/05/78;0.134
17/05/78;0.134
18/05/78;0.134
19/05/78;0.134
20/05/78;0.134
21/05/78;0.112
22/05/78;0.112
23/05/78;0.112
24/05/78;0.112
25/05/78;0.068
26/05/78;0.09
27/05/78;0.09
28/05/78;0.112
29/05/78;0.112
30/05/78;0.09
31/05/78;0.068
01/06/78;0.068
02/06/78;0.0628
03/06/78;0.0628
04/06/78;0.0576
05/06/78;0.0576
06/06/78;0.0628
07/06/78;0.0628
08/06/78;0.0628
09/06/78;0.0628
10/06/78;0.0628
11/06/78;0.0524
12/06/78;0.068
13/06/78;0.0628
14/06/78;0.0576
15/06/78;0.0524
16/06/78;0.0524
17/06/78;0.0576
18/06/78;0.0576
19/06/78;0.0628
20/06/78;0.0628
21/06/78;0.0576
22/06/78;0.068
23/06/78;0.068
24/06/78;0.09
25/06/78;0.0576
26/06/78;0.112
27/06/78;0.0576
28/06/78;0.042
29/06/78;0.042
30/06/78;0.0576
01/07/78;0.0524
02/07/78;0.0368
03/07/78;0.0368
04/07/78;0.0524
05/07/78;0.0576
06/07/78;0.0524
07/07/78;0.0524
08/07/78;0.042
09/07/78;0.0368
10/07/78;0.0368
11/07/78;0.0368
12/07/78;0.042
13/07/78;0.042
14/07/78;0.0472
15/07/78;0.042
16/07/78;0.0472
17/07/78;0.042
18/07/78;0.0368
19/07/78;0.22585
20/07/78;0.0472
21/07/78;0.042
22/07/78;0.042
23/07/78;0.0368
24/07/78;0.0368
25/07/78;0.7673666
26/07/78;0.0368
27/07/78;0.0316
28/07/78;0.0264
29/07/78;0.0212
30/07/78;0.0212
31/07/78;0.0264
01/08/78;0.0264
02/08/78;0.0316
03/08/78;0.0316
04/08/78;0.0316
05/08/78;0.0824
06/08/78;0.0368
07/08/78;0.0368
08/08/78;0.0316
09/08/78;0.0316
10/08/78;0.8551333
11/08/78;0.20215
12/08/78;0.0628
13/08/78;4.288954
14/08/78;2.486834
15/08/78;1.119
16/08/78;1.072
17/08/78;1.166
18/08/78;0.978
19/08/78;0.978
20/08/78;0.978
21/08/78;1.025
22/08/78;0.837
23/08/78;0.7426
24/08/78;0.7426
25/08/78;0.6952
26/08/78;0.6004
27/08/78;0.6952
28/08/78;2.160562
29/08/78;0.978
30/08/78;0.884
31/08/78;41.92434
01/09/78;0.9347082
02/09/78;0.802
03/09/78;0.853
04/09/78;0.904
05/09/78;0.802
06/09/78;0.853
07/09/78;0.802
08/09/78;0.802
09/09/78;0.751
10/09/78;0.7
11/09/78;0.532
12/09/78;0.532
13/09/78;0.574
14/09/78;0.574
15/09/78;0.574
16/09/78;0.574
17/09/78;0.574
18/09/78;0.532
19/09/78;0.532
20/09/78;0.574
21/09/78;0.574
22/09/78;0.574
23/09/78;0.574
24/09/78;0.658
25/09/78;0.7
26/09/78;0.658
27/09/78;0.658
28/09/78;0.658
29/09/78;0.658
30/09/78;3.172985
01/10/78;6.088531
02/10/78;1.822125
03/10/78;0.904
04/10/78;1.523958
05/10/78;1.124667
06/10/78;1.128291
07/10/78;0.955
08/10/78;0.802
09/10/78;0.7
10/10/78;0.751
11/10/78;0.7
12/10/78;0.7
13/10/78;0.658
14/10/78;0.616
15/10/78;0.574
16/10/78;0.532
17/10/78;0.448
18/10/78;0.448
19/10/78;0.406
20/10/78;0.406
21/10/78;0.448
22/10/78;0.448
23/10/78;0.364
24/10/78;0.364
25/10/78;0.322
26/10/78;0.322
27/10/78;0.28
28/10/78;0.28
29/10/78;0.254
30/10/78;0.254
31/10/78;0.254
01/11/78;0.254
02/11/78;0.254
03/11/78;0.254
04/11/78;0.254
05/11/78;0.254
06/11/78;0.254
07/11/78;0.254
08/11/78;0.28
09/11/78;0.28
10/11/78;0.28
11/11/78;0.28
12/11/78;0.28
13/11/78;0.28
14/11/78;0.28
15/11/78;0.322
16/11/78;0.322
17/11/78;0.322
18/11/78;0.322
19/11/78;0.322
20/11/78;0.364
21/11/78;0.364
22/11/78;0.322
23/11/78;0.322
24/11/78;0.322
25/11/78;0.322
26/11/78;0.28
27/11/78;0.28
28/11/78;0.28
29/11/78;0.28
30/11/78;0.28
01/12/78;0.28
02/12/78;0.254
03/12/78;0.254
04/12/78;0.254
05/12/78;0.254
06/12/78;0.254
07/12/78;0.254
08/12/78;0.254
09/12/78;0.228
10/12/78;0.228
11/12/78;0.254
12/12/78;0.228
13/12/78;0.228
14/12/78;0.228
15/12/78;0.228
16/12/78;0.228
17/12/78;0.202
18/12/78;0.202
19/12/78;0.202
20/12/78;0.202
21/12/78;0.202
22/12/78;0.202
23/12/78;0.202
24/12/78;0.202
25/12/78;0.202
26/12/78;0.228
27/12/78;0.202
28/12/78;0.202
29/12/78;0.202
30/12/78;0.202
31/12/78;0.202
01/01/79;0.228
02/01/79;0.254
03/01/79;0.254
04/01/79;0.28
05/01/79;0.28
06/01/79;0.28
07/01/79;0.322
08/01/79;0.322
09/01/79;0.364
10/01/79;0.364
11/01/79;0.364
12/01/79;0.364
13/01/79;0.364
14/01/79;0.364
15/01/79;0.364
16/01/79;0.364
17/01/79;0.364
18/01/79;0.364
19/01/79;0.364
20/01/79;0.364
21/01/79;0.364
22/01/79;0.364
23/01/79;0.364
24/01/79;0.364
25/01/79;0.406
26/01/79;0.406
27/01/79;0.406
28/01/79;0.406
29/01/79;0.406
30/01/79;0.406
31/01/79;0.406
01/02/79;0.406
02/02/79;0.406
03/02/79;0.364
04/02/79;0.364
05/02/79;0.364
06/02/79;0.364
07/02/79;0.406
08/02/79;0.406
09/02/79;0.406
10/02/79;0.406
11/02/79;0.406
12/02/79;0.406
13/02/79;0.406
14/02/79;0.406
15/02/79;0.364
16/02/79;0.364
17/02/79;0.406
18/02/79;0.28
19/02/79;0.322
20/02/79;2.044117
21/02/79;9.002085
22/02/79;1.87
23/02/79;1.403438
24/02/79;0.58
25/02/79;0.517
26/02/79;0.454
27/02/79;0.4225
28/02/79;0.391
01/03/79;0.3595
02/03/79;0.4225
03/03/79;1.038937
04/03/79;0.4855
05/03/79;0.4855
06/03/79;0.454
07/03/79;0.454
08/03/79;1.0725
09/03/79;0.521625
10/03/79;0.328
11/03/79;0.265
12/03/79;0.2276
13/03/79;0.2089
14/03/79;0.1902
15/03/79;0.1341
16/03/79;0.1341
17/03/79;0.0715
18/03/79;0.1725417
19/03/79;0.2463
20/03/79;0.2463
21/03/79;0.2463
22/03/79;0.2965
23/03/79;0.391
24/03/79;0.2965
25/03/79;0.265
26/03/79;0.2463
27/03/79;0.265
28/03/79;2.37175
29/03/79;0.517
30/03/79;0.454
31/03/79;0.391
01/04/79;0.2965
02/04/79;0.265
03/04/79;0.2463
04/04/79;0.2276
05/04/79;0.2089
06/04/79;0.1902
07/04/79;0.1715
08/04/79;0.2276
09/04/79;0.2965
10/04/79;0.2965
11/04/79;0.2965
12/04/79;0.265
13/04/79;0.265
14/04/79;0.2965
15/04/79;0.2965
16/04/79;0.2965
17/04/79;0.2965
18/04/79;0.2965
19/04/79;0.2965
20/04/79;0.2965
21/04/79;0.2965
22/04/79;0.328
23/04/79;0.328
24/04/79;0.328
25/04/79;0.2965
26/04/79;0.2965
27/04/79;0.265
28/04/79;0.265
29/04/79;0.265
30/04/79;0.265
01/05/79;0.265
02/05/79;0.2463
03/05/79;0.2463
04/05/79;0.328
05/05/79;0.2965
06/05/79;0.2965
07/05/79;0.265
08/05/79;0.265
09/05/79;0.265
10/05/79;0.3595
11/05/79;0.2463
12/05/79;0.265
13/05/79;0.265
14/05/79;0.265
15/05/79;0.265
16/05/79;0.265
17/05/79;0.265
18/05/79;0.265
19/05/79;0.2463
20/05/79;0.265
21/05/79;0.265
22/05/79;0.265
23/05/79;0.265
24/05/79;0.265
25/05/79;0.265
26/05/79;0.265
27/05/79;0.265
28/05/79;0.265
29/05/79;0.265
30/05/79;0.265
31/05/79;0.265
01/06/79;0.265
02/06/79;0.265
03/06/79;0.265
04/06/79;0.2965
05/06/79;0.265
06/06/79;0.265
07/06/79;0.265
08/06/79;0.265
09/06/79;0.265
10/06/79;0.2965
11/06/79;0.265
12/06/79;0.265
13/06/79;0.265
14/06/79;0.265
15/06/79;0.265
16/06/79;0.265
17/06/79;0.2463
18/06/79;0.265
19/06/79;0.265
20/06/79;0.265
21/06/79;0.265
22/06/79;0.2463
23/06/79;0.2463
24/06/79;0.2463
25/06/79;0.2463
26/06/79;0.2463
27/06/79;0.2463
28/06/79;0.2463
29/06/79;0.2463
30/06/79;0.2276
01/07/79;0.2276
02/07/79;0.2276
03/07/79;0.2276
04/07/79;0.2276
05/07/79;0.2276
06/07/79;0.2276
07/07/79;0.2276
08/07/79;0.2276
09/07/79;0.2276
10/07/79;0.2276
11/07/79;0.2276
12/07/79;0.2276
13/07/79;0.2276
14/07/79;15.14154
15/07/79;2.055852
16/07/79;0.2264
17/07/79;0.1911
18/07/79;0.1713
19/07/79;0.1614
20/07/79;0.1515
21/07/79;0.1515
22/07/79;0.1317
23/07/79;0.1911
24/07/79;0.2518
25/07/79;0.328
26/07/79;0.1812
27/07/79;0.201
28/07/79;0.2518
29/07/79;0.328
30/07/79;0.2772
31/07/79;0.3534
01/08/79;0.328
02/08/79;0.328
03/08/79;0.328
04/08/79;0.328
05/08/79;0.3026
06/08/79;0.2518
07/08/79;0.3026
08/08/79;0.328
09/08/79;0.3534
10/08/79;0.328
11/08/79;0.328
12/08/79;0.3788
13/08/79;0.3026
14/08/79;0.3026
15/08/79;0.328
16/08/79;0.328
17/08/79;0.328
18/08/79;0.328
19/08/79;0.328
20/08/79;0.3788
21/08/79;0.3534
22/08/79;0.3534
23/08/79;0.328
24/08/79;0.3534
25/08/79;0.328
26/08/79;0.3534
27/08/79;0.2772
28/08/79;0.3026
29/08/79;7.708167
30/08/79;1.008667
31/08/79;3.84001
01/09/79;1.091438
02/09/79;0.8940001
03/09/79;0.951
04/09/79;0.666
05/09/79;0.552
06/09/79;0.495
07/09/79;0.4705
08/09/79;0.495
09/09/79;0.495
10/09/79;0.495
11/09/79;0.609
12/09/79;0.609
13/09/79;0.446
14/09/79;0.3725
15/09/79;0.3725
16/09/79;0.3725
17/09/79;0.348
18/09/79;0.348
19/09/79;0.348
20/09/79;0.348
21/09/79;0.348
22/09/79;0.348
23/09/79;0.348
24/09/79;0.348
25/09/79;0.3725
26/09/79;0.348
27/09/79;0.348
28/09/79;0.348
29/09/79;0.348
30/09/79;0.348
01/10/79;0.348
02/10/79;0.348
03/10/79;0.348
04/10/79;0.348
05/10/79;0.348
06/10/79;0.3725
07/10/79;0.4215
08/10/79;0.4215
09/10/79;0.4215
10/10/79;0.4215
11/10/79;0.397
12/10/79;0.4215
13/10/79;0.397
14/10/79;0.4215
15/10/79;0.4215
16/10/79;7.429918
17/10/79;1.065645
18/10/79;0.7320001
19/10/79;0.558
20/10/79;0.442
21/10/79;0.326
22/10/79;0.326
23/10/79;0.268
24/10/79;0.268
25/10/79;0.268
26/10/79;0.326
27/10/79;0.5
28/10/79;0.326
29/10/79;0.326
30/10/79;0.268
31/10/79;0.442
01/11/79;0.442
02/11/79;0.442
03/11/79;0.5
04/11/79;0.442
05/11/79;0.442
06/11/79;0.442
07/11/79;0.442
08/11/79;0.5
09/11/79;1.013333
10/11/79;1.438125
11/11/79;0.7320001
12/11/79;0.79
13/11/79;0.848
14/11/79;0.906
15/11/79;0.906
16/11/79;0.906
17/11/79;0.906
18/11/79;0.964
19/11/79;0.964
20/11/79;0.964
21/11/79;0.964
22/11/79;0.964
23/11/79;0.964
24/11/79;0.964
25/11/79;1.022
26/11/79;1.022
27/11/79;1.155875
28/11/79;1.138
29/11/79;2.194375
30/11/79;4.562625
01/12/79;2.159542
02/12/79;2.352167
03/12/79;1.488
04/12/79;1.196
05/12/79;1.138
06/12/79;1.138
07/12/79;1.196
08/12/79;1.254
09/12/79;1.37
10/12/79;1.488
11/12/79;1.901
12/12/79;2.137
13/12/79;2.019
14/12/79;1.901
15/12/79;1.842
16/12/79;1.547
17/12/79;1.37
18/12/79;1.254
19/12/79;1.138
20/12/79;1.08
21/12/79;1.429
22/12/79;1.37
23/12/79;1.312
24/12/79;1.37
25/12/79;1.488
26/12/79;1.96
27/12/79;2.491
28/12/79;2.432
29/12/79;2.255
30/12/79;1.901
31/12/79;1.901
01/01/80;1.724
02/01/80;1.783
03/01/80;1.547
04/01/80;1.547
05/01/80;1.429
06/01/80;1.37
07/01/80;1.429
08/01/80;1.429
09/01/80;1.547
10/01/80;1.665
11/01/80;1.783
12/01/80;1.783
13/01/80;1.665
14/01/80;1.606
15/01/80;1.488
16/01/80;1.429
17/01/80;1.429
18/01/80;2.931541
19/01/80;1.724
20/01/80;1.783
21/01/80;1.665
22/01/80;1.547
23/01/80;1.37
24/01/80;1.37
25/01/80;1.37
