Sekkak-Learn;
Sekkak-Learn;
N;Q
493;12.9192307692
494;11
495;10.5294117647
496;9.5852941176
497;8.1833333333
498;7.25
499;6.3214285714
500;5.65
501;4.75
502;2.35
503;1.95
504;1.84
505;1.74
506;1.66
507;1.58
508;1.66
509;24.4198717949
510;27.879787234
511;27.9798780488
512;27.9601190476
513;33.5602409639
514;37.4
515;39.9201086957
516;36.2798507463
517;27.9197916667
518;27.8598765432
519;24.5598958333
520;20
521;15.2718390805
522;17.0479166667
523;15.4480519481
524;13.4638888889
525;13.4
526;13.4
527;13.5925
528;13.5276315789
529;13.4960526316
530;13.4634146341
531;13.4644736842
532;13.4314814815
533;13.1608695652
534;12.4392857143
535;12.2
536;12.6785714286
537;12.4392857143
538;11.4807692308
539;10.5285714286
540;9.8192307692
541;2.0555555556
542;2.05
543;2.57
544;2.3666666667
545;2.05
546;1.85
547;1.8448275862
548;5.6483870968
549;5.4232142857
550;4.528125
551;3.56
552;3.04
553;2.6777777778
554;2.575
555;2.36
556;2.25
557;2.05
558;2.05
559;3.3
560;4.9763157895
561;9.8198412698
562;11.4796610169
563;13.5920634921
564;13.688
565;13.7210526316
566;13.4
567;11.240625
568;10.2916666667
569;9.1133333333
570;2.675
571;7.9431818182
572;7.2472222222
573;7.0147058824
574;6.5521164021
575;7.29
576;8.339953271
577;19.8
578;54.7679558011
579;72.840060241
580;75
581;97.6560810811
582;104.0799516908
583;106.7080924856
584;101.1598870057
585;98.2399350649
586;73.56
587;71.5438848921
588;95.9038690476
589;131.9
590;121.4
591;106.4162790698
592;101.4514705882
593;74.7120289855
594;73.8480769231
595;72.3359848485
596;56.5038888889
597;52.7840425532
598;38.76015625
599;4.51
600;3.97
601;3.61
602;3.49
603;3.01
604;2.77
605;4.3333333333
606;3
607;2.77
608;2.65
609;2.41
610;2.41
611;2.32
612;2.32
613;2.23
614;2.14
615;2.05
616;1.96
617;1.96
618;1.86
619;1.96
620;1.77
621;1.59
622;1.59
623;1.59
624;1.5
625;1.5
626;1.43
627;1.5
628;1.43
629;1.43
630;1.43
631;1.36
632;1.4
633;1.4
634;1.4
635;1.4
636;1.4
637;1.4
638;1.3
639;1.3
640;1.3
641;1.3
642;13.9206896552
643;7.9202702703
644;5.4
645;1.5
646;1.4
647;1.3
648;0.8
649;0.8
650;0.8
651;0.8
652;1.15
653;1.15
654;1.15
655;1.15
656;1.15
657;1.15
658;1.15
